Policy Number,Transaction ID,Effective Date,Product,Program,Account Number,Insured Name,Premium,Actions,policystatus,issueddate,shreddertransinbounddate,shredderstginbounddate,policyodsstgfirstdate,policyodscvt,policyodstranfirstdate
PK202500017047,"3,98,754",10-06-2025,Package,Media - DICE,10252698,Laura,"2,010",,Posted,6-9-25 1:42 PM,6-9-25 7:05 PM,6-9-25 7:05 PM,6-9-25 7:12 PM,,6-9-25 7:52 PM
PK202500017049,"3,98,760",01-09-2025,Package,Propane & Fuel Dealers,10252571,hfx_157017L,"7,559",,Posted,6-10-25 2:41 AM,6-10-25 8:05 AM,6-10-25 8:05 AM,6-10-25 8:19 AM,,6-10-25 12:56 PM
PK202500017049,"3,98,761",01-09-2025,Package,Propane & Fuel Dealers,10252571,hfx_157017L,0,,Posted,6-10-25 2:43 AM,6-10-25 8:05 AM,6-10-25 8:05 AM,6-10-25 1:12 PM,,6-10-25 6:04 PM
PK202500017049,"3,98,762",24-10-2025,Package,Propane & Fuel Dealers,10252571,hfx_157017L,0,,Posted,6-10-25 2:44 AM,6-10-25 8:05 AM,6-10-25 8:05 AM,6-10-25 10:11 PM,,6-11-25 10:08 AM
PK202500017049,"3,98,763",22-11-2025,Package,Propane & Fuel Dealers,10252571,hfx_157017L,0,,Posted,6-10-25 2:45 AM,6-10-25 8:05 AM,6-10-25 8:05 AM,6-11-25 6:18 AM,,6-11-25 7:04 AM
PK202500017049,"3,98,764",02-03-2026,Package,Propane & Fuel Dealers,10252571,hfx_157017L,0,,Posted,6-10-25 2:51 AM,6-10-25 8:10 AM,6-10-25 8:10 AM,6-11-25 7:18 AM,,6-11-25 8:03 AM
PK202500017049,"3,98,765",09-07-2026,Package,Propane & Fuel Dealers,10252571,hfx_157017L,-954,,Posted,6-10-25 2:55 AM,6-10-25 8:10 AM,6-10-25 8:10 AM,6-11-25 8:20 AM,,6-11-25 9:26 AM
PK202500017049,"3,98,766",09-07-2026,Package,Propane & Fuel Dealers,10252571,hfx_157017L,0,,Posted,6-10-25 3:07 AM,6-10-25 8:25 AM,6-10-25 8:25 AM,6-11-25 9:34 AM,,6-11-25 10:26 AM
PK202400017020,"3,98,774",10-09-2024,Package,Media - DICE,10252541,Roslan DICE NY Backdated June Release 6.3.25,0,,Posted,6-10-25 11:42 AM,6-10-25 5:05 PM,6-10-25 5:05 PM,6-10-25 5:43 PM,,6-10-25 10:34 PM
PK202500014632,"3,98,775",25-06-2025,Package,Media - DICE,10219476,Tests for JG,"2,047",,Posted,6-10-25 11:57 AM,6-10-25 5:15 PM,6-10-25 5:15 PM,6-10-25 5:43 PM,,6-10-25 10:34 PM
PK202400017055,"3,98,776",16-09-2024,Package,Media - DICE,10252722,Roslan DICE NJ Backdated June Release 6.10.25,"6,343",,Posted,6-10-25 3:55 PM,6-10-25 9:10 PM,6-10-25 9:10 PM,6-10-25 10:11 PM,,6-11-25 10:08 AM
PK202400017056,"3,98,778",16-09-2024,Package,Media - DICE,10252724,Roslan DICE CA Backdated June Release 6.10.25,"5,071",,Posted,6-10-25 4:16 PM,6-10-25 9:35 PM,6-10-25 9:35 PM,6-10-25 10:11 PM,,6-11-25 10:08 AM
AU202400018284,"3,98,780",02-06-2024,Automobile,School Bus Contractors,,Acc_Samanage_157360,"4,315",,Posted,6-11-25 2:49 AM,6-11-25 8:05 AM,6-11-25 8:05 AM,6-11-25 8:24 AM,,6-11-25 9:26 AM
PK202400017057,"3,98,781",01-07-2024,Package,Franchise Equipment Dealer,10252729,hfx_157670L,"12,749",,Hold,6-11-25 4:55 AM,6-11-25 10:10 AM,6-11-25 10:10 AM,6-11-25 10:19 AM,6-11-25 10:36 AM,
AU202400018285,"3,98,782",13-07-2024,Automobile,School Bus Contractors,,hfx_157360L,"-23,269",,Posted,6-11-25 6:59 AM,6-11-25 12:15 PM,6-11-25 12:15 PM,6-11-25 1:40 PM,,6-11-25 2:23 PM
AU202400018285,"3,98,783",02-06-2024,Automobile,School Bus Contractors,,hfx_157360L,"35,993",,Posted,6-11-25 6:56 AM,6-11-25 12:15 PM,6-11-25 12:15 PM,6-11-25 12:40 PM,,6-11-25 1:21 PM
AU202400018285,"3,98,784",19-07-2024,Automobile,School Bus Contractors,,hfx_157360L,"9,494",,InProcess,6-11-25 7:17 AM,6-11-25 12:35 PM,,,,
AU202400018285,"3,98,785",18-09-2024,Automobile,School Bus Contractors,,hfx_157360L,"3,443",,InProcess,6-11-25 7:32 AM,6-11-25 12:50 PM,,,,
AU202400018285,"3,98,786",18-09-2024,Automobile,School Bus Contractors,,hfx_157360L,"4,006",,InProcess,6-11-25 7:36 AM,6-11-25 12:55 PM,,,,
AU202400018285,"3,98,787",23-10-2024,Automobile,School Bus Contractors,,hfx_157360L,"2,974",,InProcess,6-11-25 7:54 AM,6-11-25 1:10 PM,,,,
AU202400018285,"3,98,788",14-11-2024,Automobile,School Bus Contractors,,hfx_157360L,"-5,362",,InProcess,6-11-25 7:59 AM,6-11-25 1:15 PM,,,,
PK202400017058,"3,98,789",16-09-2024,Package,Media - DICE,10252735,Roslan DICE NJ Backdated June Release 6.11.25,"6,023",,InProcess,6-11-25 8:43 AM,6-11-25 2:05 PM,,,,
PK202300017059,"3,98,791",22-05-2023,Package,Media - DICE,10252733,hfx_156309L,"5,321",,InProcess,6-11-25 9:08 AM,6-11-25 2:25 PM,,,,
PK202300017059,"3,98,792",08-09-2023,Package,Media - DICE,10252733,hfx_156309L,0,,InProcess,6-11-25 9:11 AM,6-11-25 2:30 PM,,,,
PK202400017059,"3,98,793",22-05-2024,Package,Media - DICE,10252733,hfx_156309L,"6,072",,InProcess,6-11-25 9:29 AM,6-11-25 2:47 PM,,,,
PK202400017038,"3,98,794",11-09-2024,Package,Media - DICE,10252655,Roslan DICE NJ Backdated June Release 6.5.25,0,,Hold,6-11-25 12:35 PM,6-11-25 5:50 PM,6-11-25 5:50 PM,6-11-25 6:10 PM,6-11-25 7:06 PM,
PK202500017038,"3,98,795",11-09-2025,Package,Media - DICE,10252655,Roslan DICE NJ Backdated June Release 6.5.25,"5,094",,Hold,6-11-25 12:37 PM,6-11-25 5:55 PM,6-11-25 5:55 PM,6-11-25 6:10 PM,6-11-25 7:06 PM,
PK202400017061,"3,98,801",01-07-2024,Package,Media - Touring,10252741,hfx_157531L,"5,018",,Hold,6-12-25 2:46 AM,6-12-25 8:05 AM,6-12-25 8:05 AM,6-12-25 8:22 AM,6-13-25 6:20 AM,
PK202400017061,"3,98,802",24-04-2025,Package,Media - Touring,10252741,hfx_157531L,0,,Hold,6-12-25 2:51 AM,6-12-25 8:10 AM,6-12-25 8:10 AM,6-13-25 6:36 AM,6-13-25 7:23 AM,
PK202400017061,"3,98,803",31-05-2025,Package,Media - Touring,10252741,hfx_157531L,351,,Hold,6-12-25 2:59 AM,6-12-25 8:15 AM,6-12-25 8:15 AM,6-13-25 7:40 AM,6-13-25 8:27 AM,
PK202500017063,"3,98,820",02-09-2025,Package,Pest Control,10252754,HFX_157666,"3,569",,Hold,6-12-25 6:22 AM,6-12-25 11:40 AM,6-12-25 11:40 AM,6-13-25 5:13 AM,6-13-25 6:20 AM,
PK202500017063,"3,98,821",20-07-2026,Package,Pest Control,10252754,HFX_157666,0,,Hold,6-12-25 6:34 AM,6-12-25 11:50 AM,6-12-25 11:50 AM,6-13-25 6:36 AM,6-13-25 7:23 AM,
PK202500017063,"3,98,822",20-07-2026,Package,Pest Control,10252754,HFX_157666,0,,Hold,6-12-25 6:34 AM,6-12-25 11:55 AM,6-12-25 11:55 AM,6-13-25 11:04 AM,6-13-25 12:06 PM,
PK202500017063,"3,98,823",20-07-2026,Package,Pest Control,10252754,HFX_157666,17,,Hold,6-12-25 6:39 AM,6-12-25 11:55 AM,6-12-25 11:55 AM,6-13-25 7:40 AM,6-13-25 8:27 AM,
PK202500017063,"3,98,824",20-07-2026,Package,Pest Control,10252754,HFX_157666,17,,Posted,6-12-25 6:39 AM,6-12-25 11:55 AM,6-12-25 11:55 AM,6-13-25 9:53 AM,,6-13-25 10:50 AM
PK202500017063,"3,98,825",20-07-2026,Package,Pest Control,10252754,HFX_157666,18,,Posted,6-12-25 6:40 AM,6-12-25 11:55 AM,6-12-25 11:55 AM,6-13-25 1:18 PM,,6-13-25 2:23 PM
PK202500017063,"3,98,826",20-07-2026,Package,Pest Control,10252754,HFX_157666,0,,Posted,6-12-25 6:40 AM,6-12-25 11:55 AM,6-12-25 11:55 AM,6-13-25 2:53 PM,,6-13-25 3:46 PM
PK202500017063,"3,98,827",02-09-2025,Package,Pest Control,10252754,HFX_157666,0,,Posted,6-12-25 6:40 AM,6-12-25 11:55 AM,6-12-25 11:55 AM,6-13-25 12:14 PM,,6-13-25 1:07 PM
AU202500018286,"3,98,836",31-01-2025,Automobile,Credit Union Plus,,Credit-Union-Plus-test-HFX,447,,Posted,6-12-25 10:57 AM,6-12-25 4:15 PM,6-12-25 4:15 PM,6-12-25 4:43 PM,,6-12-25 5:36 PM
PK202400017066,"3,98,837",17-09-2024,Package,Media - DICE,10252768,Roslan DICE NJ Backdated July Release 6.12.25,"6,343",,Posted,6-12-25 11:36 AM,6-12-25 4:55 PM,6-12-25 4:55 PM,6-13-25 5:13 AM,,6-13-25 6:20 AM
PK202400017067,"3,98,840",17-09-2024,Package,Media - DICE,10252777,Roslan DICE CA Backdated July Release 6.12.25,"5,163",,Posted,6-12-25 1:57 PM,6-12-25 7:15 PM,6-12-25 7:15 PM,6-13-25 5:13 AM,,6-13-25 6:20 AM
PK202400017070,"3,98,848",18-09-2024,Package,Media - DICE,10252794,Roslan DICE NJ Backdated July Release 6.13.25,"7,027",,Posted,6-13-25 8:22 AM,6-13-25 1:40 PM,6-13-25 1:40 PM,6-13-25 2:00 PM,,6-13-25 3:25 PM
PK202400017071,"3,98,851",18-09-2024,Package,Media - DICE,10252796,Roslan DICE CA Backdated July Release 6.13.25,"5,161",,Posted,6-13-25 8:40 AM,6-13-25 1:56 PM,6-13-25 1:56 PM,6-13-25 2:53 PM,,6-13-25 3:46 PM
PK202500017072,"3,98,853",01-08-2025,Package,Franchise Equipment Dealer,10252798,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:32:20 GMT-0400 (Eastern Dayl,"75,362",,Posted,6-13-25 11:40 AM,6-13-25 4:55 PM,6-13-25 4:55 PM,6-13-25 6:35 PM,,6-13-25 7:57 PM
PK202500017073,"3,98,854",01-09-2025,Package,Portable Sanitation,10252802,Reg_Multistate_CPP_GL_IM_Crime_Prop_IM_NB_1.1_Fri Jun 13 2025 16:38:28 GMT+0000 (Coordinated Unive,"63,176",,Posted,6-13-25 11:42 AM,6-13-25 5:05 PM,6-13-25 5:05 PM,6-13-25 6:35 PM,,6-13-25 7:57 PM
PK202500017073,"3,98,855",01-09-2025,Package,Portable Sanitation,10252802,Reg_Multistate_CPP_GL_IM_Crime_Prop_IM_NB_1.1_Fri Jun 13 2025 16:38:28 GMT+0000 (Coordinated Unive,"-63,176",,Posted,6-13-25 11:42 AM,6-13-25 5:05 PM,6-13-25 5:05 PM,6-13-25 8:11 PM,,6-13-25 9:11 PM
PK202500017072,"3,98,856",16-08-2025,Package,Franchise Equipment Dealer,10252798,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:32:20 GMT-0400 (Eastern Dayl,"1,33,748",,Posted,6-13-25 11:44 AM,6-13-25 5:05 PM,6-13-25 5:05 PM,6-13-25 8:11 PM,,6-13-25 9:11 PM
PK202500017072,"3,98,857",31-08-2025,Package,Franchise Equipment Dealer,10252798,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:32:20 GMT-0400 (Eastern Dayl,"6,750",,Posted,6-13-25 11:47 AM,6-13-25 5:05 PM,6-13-25 5:05 PM,6-13-25 9:23 PM,,6-13-25 10:19 PM
PK202500017072,"3,98,858",31-08-2025,Package,Franchise Equipment Dealer,10252798,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:32:20 GMT-0400 (Eastern Dayl,"6,750",,Posted,6-13-25 11:47 AM,6-13-25 5:05 PM,6-13-25 5:05 PM,6-13-25 10:31 PM,,6-13-25 11:30 PM
PK202500017072,"3,98,859",31-08-2025,Package,Franchise Equipment Dealer,10252798,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:32:20 GMT-0400 (Eastern Dayl,"6,750",,Posted,6-13-25 11:48 AM,6-13-25 5:05 PM,6-13-25 5:05 PM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017072,"3,98,860",26-08-2025,Package,Franchise Equipment Dealer,10252798,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:32:20 GMT-0400 (Eastern Dayl,0,,Posted,6-13-25 11:48 AM,6-13-25 5:07 PM,6-13-25 5:07 PM,6-17-25 3:06 AM,,6-17-25 6:36 AM
PK202500017074,"3,98,862",01-08-2025,Package,Franchise Equipment Dealer,10252804,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 16:46:33 GMT+0000 (Coordinated Unive,"75,362",,Posted,6-13-25 11:55 AM,6-13-25 5:15 PM,6-13-25 5:15 PM,6-13-25 6:35 PM,,6-13-25 7:57 PM
PK202500017074,"3,98,864",16-08-2025,Package,Franchise Equipment Dealer,10252804,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 16:46:33 GMT+0000 (Coordinated Unive,"1,33,748",,Posted,6-13-25 11:59 AM,6-13-25 5:15 PM,6-13-25 5:15 PM,6-13-25 8:11 PM,,6-13-25 9:11 PM
PK202500017074,"3,98,865",31-08-2025,Package,Franchise Equipment Dealer,10252804,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 16:46:33 GMT+0000 (Coordinated Unive,"6,750",,Posted,6-13-25 12:03 PM,6-13-25 5:20 PM,6-13-25 5:20 PM,6-13-25 10:31 PM,,6-13-25 11:30 PM
PK202500017075,"3,98,866",01-08-2025,Package,Franchise Equipment Dealer,10252805,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 12:49:24 GMT-0400 (Eastern Dayl,"75,362",,Posted,6-13-25 11:57 AM,6-13-25 5:20 PM,6-13-25 5:20 PM,6-13-25 6:35 PM,,6-13-25 7:57 PM
PK202500017074,"3,98,867",31-08-2025,Package,Franchise Equipment Dealer,10252804,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 16:46:33 GMT+0000 (Coordinated Unive,"6,750",,Posted,6-13-25 12:05 PM,6-13-25 5:20 PM,6-13-25 5:20 PM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017074,"3,98,868",26-08-2025,Package,Franchise Equipment Dealer,10252804,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 16:46:33 GMT+0000 (Coordinated Unive,0,,Posted,6-13-25 12:05 PM,6-13-25 5:20 PM,6-13-25 5:20 PM,6-17-25 3:06 AM,,6-17-25 6:36 AM
PK202500017074,"3,98,869",31-08-2025,Package,Franchise Equipment Dealer,10252804,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Fri Jun 13 2025 16:46:33 GMT+0000 (Coordinated Unive,"6,750",,Posted,6-13-25 12:03 PM,6-13-25 5:25 PM,6-13-25 5:25 PM,6-13-25 9:23 PM,,6-13-25 10:19 PM
PK202500017076,"3,98,885",01-07-2025,Package,Credit Union Plus,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:11:33 GMT-0400 (Eastern Dayl,"2,35,059",,Posted,6-15-25 1:19 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017077,"3,98,888",01-07-2025,Package,Specialty Trade Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:08:45 GMT+0000 (Coordinated Unive,"7,95,989",,Posted,6-15-25 1:21 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017079,"3,98,889",01-07-2025,Package,Propane & Fuel Dealers,,Reg_Property_NY_NB_CnclFlat_Rewrite1.7_Sun Jun 15 2025 14:19:10 GMT-0400 (Eastern Dayl,"3,15,023",,Posted,6-15-25 1:27 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017076,"3,98,890",01-07-2025,Package,Credit Union Plus,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:11:33 GMT-0400 (Eastern Dayl,"-2,35,059",,Posted,6-15-25 1:19 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017081,"3,98,891",01-08-2025,Package,Franchise Equipment Dealer,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:21:50 GMT-0400 (Eastern Dayl,"9,78,808",,Posted,6-15-25 1:34 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017076,"3,98,892",01-07-2025,Package,Credit Union Plus,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:11:33 GMT-0400 (Eastern Dayl,"2,35,059",,Posted,6-15-25 1:21 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017083,"3,98,893",01-06-2025,Package,Petrosure - Manufacturers,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:27:13 GMT+0000 (Coordinated Unive,"83,89,107",,Posted,6-15-25 1:38 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017077,"3,98,894",01-07-2025,Package,Specialty Trade Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:08:45 GMT+0000 (Coordinated Unive,"-7,95,989",,Posted,6-15-25 1:21 PM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016996,"3,98,896",26-08-2025,Package,Media - Film,10252396,Reg_Prop_Media_1.3_Mon Jun 02 2025 10:53:07 GMT+0000 (Coordinated Unive,0,,Posted,6-2-25 6:03 AM,6-16-25 5:55 AM,6-16-25 5:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017084,"3,98,898",01-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,"18,159",,Posted,6-15-25 1:50 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017086,"3,98,899",01-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"2,25,183",,Posted,6-15-25 1:53 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017078,"3,98,909",29-07-2025,Package,Specialty Trade Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:08:45 GMT+0000 (Coordinated Unive,"7,95,989",,Posted,6-15-25 1:23 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017088,"3,98,910",01-08-2025,Package,Franchise Equipment Dealer,,Reg_MultiQuote_NB_1.14_Sun Jun 15 2025 19:01:18 GMT+0000 (Coordinated Unive,"18,649",,Posted,6-15-25 2:06 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017078,"3,98,911",15-08-2025,Package,Specialty Trade Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:08:45 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:24 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017078,"3,98,913",31-08-2025,Package,Specialty Trade Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:08:45 GMT+0000 (Coordinated Unive,"11,181",,Posted,6-15-25 1:26 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017079,"3,98,914",01-07-2025,Package,Propane & Fuel Dealers,,Reg_Property_NY_NB_CnclFlat_Rewrite1.7_Sun Jun 15 2025 14:19:10 GMT-0400 (Eastern Dayl,"-3,15,023",,Posted,6-15-25 1:27 PM,6-16-25 6:05 AM,6-16-25 6:05 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
AU202500018287,"3,98,921",01-08-2025,Automobile,Petrosure - Crane and Rigging,,Ignore_UR_Petrosure_June_Reg,"29,766",,Posted,6-15-25 10:46 PM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
PK202500017080,"3,98,922",22-07-2025,Package,Propane & Fuel Dealers,,Reg_Property_NY_NB_CnclFlat_Rewrite1.7_Sun Jun 15 2025 14:19:10 GMT-0400 (Eastern Dayl,"3,15,023",,Posted,6-15-25 1:29 PM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
AU202500018288,"3,98,926",01-09-2025,Automobile,School Bus Contractors,,"ACC_TEST_SMOKETEST_IGNORE_,'$%&_UAT6_MAAUTO_Mon Jun 16 2025 05:45:29 GMT+0000 (Coordinated Unive","2,167",,Posted,6-16-25 12:47 AM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018289,"3,98,927",01-09-2025,Automobile,School Bus Contractors,,"ACC_TEST_SMOKETEST_IGNORE_,'$%&_UAT6_AUTO_Mon Jun 16 2025 05:42:25 GMT+0000 (Coordinated Unive","9,957",,Posted,6-16-25 12:47 AM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
PK202500017081,"3,98,929",01-08-2025,Package,Franchise Equipment Dealer,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:21:50 GMT-0400 (Eastern Dayl,"-9,78,808",,Posted,6-15-25 1:35 PM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017082,"3,98,933",29-08-2025,Package,Franchise Equipment Dealer,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:21:50 GMT-0400 (Eastern Dayl,"9,78,808",,Posted,6-15-25 1:36 PM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017082,"3,98,934",15-09-2025,Package,Franchise Equipment Dealer,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:21:50 GMT-0400 (Eastern Dayl,"-2,73,538",,Posted,6-15-25 1:38 PM,6-16-25 6:10 AM,6-16-25 6:10 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017083,"3,98,945",01-06-2025,Package,Petrosure - Manufacturers,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 18:27:13 GMT+0000 (Coordinated Unive,-900,,Posted,6-15-25 1:39 PM,6-16-25 6:15 AM,6-16-25 6:15 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017082,"3,98,947",01-10-2025,Package,Franchise Equipment Dealer,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Sun Jun 15 2025 14:21:50 GMT-0400 (Eastern Dayl,"1,16,566",,Posted,6-15-25 1:40 PM,6-16-25 6:15 AM,6-16-25 6:15 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500016988,"3,98,952",16-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,"1,574",,Posted,6-15-25 1:44 PM,6-16-25 6:15 AM,6-16-25 6:15 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
